Signature;diameter;average distance;number_of_connections
"C(55; 1, 21)";5;3,51852;6653
"C(55; 1, 23)";5;3,51852;6653
"C(56; 1, 10)";5;3,54545;6618
"C(57; 1, 24)";5;3,57143;7336
"C(58; 1, 22)";5;3,59649;7662
"C(59; 1, 9)";5;3,62069;13168
"C(59; 1, 13)";5;3,62069;13168
"C(61; 1, 11)";5;3,66667;10406
"C(62; 1, 26)";6;3,70492;9613
"C(63; 1, 24)";6;3,74194;10301
"C(64; 1, 14)";6;3,77778;11051
"C(65; 1, 10)";6;3,8125;12037
"C(65; 1, 18)";6;3,8125;12037
"C(66; 1, 10)";6;3,84615;11658
"C(66; 1, 12)";6;3,84615;11658
"C(67; 1, 12)";6;3,87879;21004
"C(67; 1, 28)";6;3,87879;21004
"C(68; 1, 26)";6;3,91045;13164
"C(69; 1, 15)";6;3,94118;14115
"C(69; 1, 19)";6;3,94118;14115
"C(69; 1, 29)";6;3,94118;14115
"C(71; 1, 11)";6;4;17026
"C(71; 1, 13)";6;4;17026
"C(71; 1, 21)";6;4;17026
"C(71; 1, 27)";6;4;17026
"C(72; 1, 11)";6;4,02817;15402
"C(72; 1, 13)";6;4,02817;15402
"C(72; 1, 30)";6;4,02817;15402
"C(73; 1, 11)";6;4,05556;19232
"C(73; 1, 13)";6;4,05556;19232
"C(73; 1, 16)";6;4,05556;19232
"C(73; 1, 20)";6;4,05556;19232
"C(73; 1, 28)";6;4,05556;19232
"C(73; 1, 32)";6;4,05556;19232
"C(74; 1, 22)";6;4,08219;18381
"C(75; 1, 10)";6;4,10811;26429
"C(75; 1, 33)";6;4,10811;26429
"C(76; 1, 10)";6;4,13333;20036
"C(77; 1, 14)";6;4,15789;22509
"C(78; 1, 12)";6;4,18182;21106
"C(78; 1, 14)";6;4,18182;21106
"C(79; 1, 12)";6;4,20513;24965
"C(79; 1, 33)";6;4,20513;24965
"C(80; 1, 22)";6;4,22785;23377
"C(81; 1, 24)";6;4,25;26619
"C(82; 1, 36)";6;4,2716;27004
"C(83; 1, 11)";6;4,29268;30567
"C(83; 1, 15)";6;4,29268;30567
"C(85; 1, 13)";6;4,33333;31900
"C(86; 1, 36)";7;4,36471;31462
"C(87; 1, 24)";7;4,39535;33460
"C(88; 1, 26)";7;4,42529;33541
"C(89; 1, 16)";7;4,45455;36857
"C(89; 1, 34)";7;4,45455;36857
"C(89; 1, 39)";7;4,45455;36857
"C(90; 1, 12)";7;4,48315;42331
"C(91; 1, 12)";7;4,51111;40882
"C(91; 1, 14)";7;4,51111;40882
"C(91; 1, 25)";7;4,51111;40882
"C(91; 1, 27)";7;4,51111;40882
"C(91; 1, 38)";7;4,51111;40882
"C(91; 1, 40)";7;4,51111;40882
"C(92; 1, 14)";7;4,53846;38391
"C(93; 1, 39)";7;4,56522;41431
"C(94; 1, 26)";7;4,5914;42095
"C(94; 1, 36)";7;4,5914;42095
"C(95; 1, 17)";7;4,61702;45880
"C(95; 1, 28)";7;4,61702;45880
"C(96; 1, 42)";7;4,64211;42647
"C(97; 1, 13)";7;4,66667;51487
"C(97; 1, 15)";7;4,66667;51487
"C(98; 1, 13)";7;4,69072;48979
"C(98; 1, 15)";7;4,69072;48979
"C(98; 1, 27)";7;4,69072;48979
"C(98; 1, 29)";7;4,69072;48979
"C(98; 1, 36)";7;4,69072;48979
"C(98; 1, 41)";7;4,69072;48979
"C(98; 1, 43)";7;4,69072;48979
"C(99; 1, 13)";7;4,71429;53273
"C(99; 1, 15)";7;4,71429;53273
"C(99; 1, 38)";7;4,71429;53273
"C(100; 1, 18)";7;4,73737;51206
"C(100; 1, 44)";7;4,73737;51206
"C(101; 1, 30)";7;4,76;60747
"C(101; 1, 37)";7;4,76;60747
"C(102; 1, 12)";7;4,78218;54971
"C(102; 1, 28)";7;4,78218;54971
"C(103; 1, 12)";7;4,80392;64754
"C(103; 1, 43)";7;4,80392;64754
"C(104; 1, 16)";7;4,82524;65194
"C(105; 1, 14)";7;4,84615;63706
"C(105; 1, 16)";7;4,84615;63706
"C(105; 1, 29)";7;4,84615;63706
"C(105; 1, 31)";7;4,84615;63706
"C(105; 1, 44)";7;4,84615;63706
"C(105; 1, 46)";7;4,84615;63706
"C(106; 1, 14)";7;4,86667;66906
"C(107; 1, 41)";7;4,88679;75600
"C(107; 1, 47)";7;4,88679;75600
